Company Name,Website,Company Linkedin Url,First Name,Last Name,Title,Person linkedin url,E-mail,Phone Number,Address,Company City,Company State,Type,Industry,# Employees,Annual Revenue,Total Funding,Company Phone,Company Street,Company Postal Code,Company Country,Company Founded Year
Passerine,http://www.cafepasserine.com,http://www.linkedin.com/company/cafepasserine,,,,,,,,Lancaster,Pennsylvania,Production company,restaurants,3,,,+1 717-283-2996,114 N Prince St,17603-1802,United States,2022
Cheeky Films,http://www.cheekyfilms.tv,http://www.linkedin.com/company/cheeky-films,,,,,,,,Los Angeles,California,Commercial production company,media production,4,,,+1 323-682-0082,4638 Toland Way,90041-3434,United States,2016
Human Element,http://www.humanelement.tv,http://www.linkedin.com/company/human-element-la,,,,,,,,Los Angeles,California,Commercial production company,marketing & advertising,4,,,+1 213-232-1193,453 S Spring St,90013,United States,2003
VFX Los Angeles,http://www.vfxlosangeles.com,http://www.linkedin.com/company/vfx-los-angeles,,,,,,,,Los Angeles,California,Commercial production company,entertainment,4,,,,145 South Fairfax Avenue,90036,United States,
Instant Karma Films,http://www.instantkarmafilms.com,http://www.linkedin.com/company/instant-karma-films,,,,,,,,Santa Monica,California,Commercial production company,media production,4,,,+1 310-526-7703,212 Marine St,90405,United States,2006
Pacific Rim Films,http://www.pacificrimfilms.us,http://www.linkedin.com/company/pacific-rim-films,,,,,,,,Santa Monica,California,Commercial production company,,4,,,+1 310-826-8555,243 15th St,90402-2209,United States,
November Films,http://www.novemberfilms.in,http://www.linkedin.com/company/novemberfilmsindia,,,,,,,,,California,Commercial production company,media production,4,,,,,,United States,
Kandoo Films,http://www.kandoofilms.com,http://www.linkedin.com/company/kandoofilms,,,,,,,,Los Angeles,California,Commercial production company,media production,4,8693000,,+1 818-789-6777,4515 Van Nuys Blvd,91403,United States,1992
AgencySpotter,http://www.agencyspotter.com,http://www.linkedin.com/company/agencyspotter,,,,,,,,Bradenton,Florida,Commercial production company,marketing & advertising,4,,500000,+1 404-590-5825,,34209,United States,
Hatch Agency,http://www.familyontheboat.com,http://www.linkedin.com/company/hatch-agency,,,,,,,,,Hlavni mesto Praha,Commercial production company,marketing & advertising,4,,,,8 Drtinova,150 00,Czechia,2015
Sugar Film Production,http://www.sugartv.com,http://www.linkedin.com/company/sugar-film-production,,,,,,,,Dallas,Texas,Commercial film production company,media production,4,,,+1 214-655-2662,155 Oak Lawn Ave,75207,United States,2001
BigDoor Inc.,http://www.bigdoor.com,http://www.linkedin.com/company/bigdoor-media-inc.,,,,,,,,Seattle,Washington,Commercial production company,information technology & services,4,300000,10825000,+1 206-971-3919,511 Boren Avenue North,98109,United States,2009
RHC Productions,http://www.rhcproductions.com,http://www.linkedin.com/company/rhc-productions,,,,,,,,Chino Hills,California,Commercial production company,media production,5,,,+1 909-999-7827,2587 Chino Hills Pkwy,91709-5118,United States,
"Rhythm & Hues, LLC",http://www.rhythmandhues.com,http://www.linkedin.com/company/rhythm-&-hues-llc,,,,,,,,West Palm Beach,Florida,Commercial production / VFX,recreational facilities & services,5,,,,7725 S Dixie Hwy,33405-4817,United States,2015
Hana Productions LLC,http://www.hanaproductions.com,http://www.linkedin.com/company/hana-productions,,,,,,,,Hana,Hawaii,Production service company,media production,5,33744000,,+1 808-248-7314,931 Hana Hwy,96713,United States,2005
Townsend Hurst,http://www.townsendhurst.com,http://www.linkedin.com/company/townsendhurst,,,,,,,,St. Louis,Missouri,Production company,media production,5,,,+1 314-662-6044,3138 Cherokee St,63118-2844,United States,2021
"Garage Films, Inc.",http://www.garagefilms.tv,http://www.linkedin.com/company/garagefilms,,,,,,,,New York,New York,Commercial production company,media production,5,,,+1 720-225-9035,,10016,United States,2005
Froth & Fur,http://www.froth-fur.com,http://www.linkedin.com/company/frothandfur,,,,,,,,New York,New York,Commercial production company,media production,5,5204000,,+1 800-509-0663,228 Park Ave S,10003-1502,United States,2015
Detour Film Production,http://www.detourfilm.com,http://www.linkedin.com/company/detour-film-production,,,,,,,,Austin,Texas,Commercial production company,entertainment,5,35413000,,+1 512-220-6015,3109 N Interstate 35,78722-2202,United States,1990
Hungryman,http://www.hungry-man.com,http://www.linkedin.com/company/hungryman,,,,,,,,,,Commercial production company,food & beverages,5,3637000,,,,,United States,2019
Bjoin Films,http://www.bjoinfilms.com,http://www.linkedin.com/company/bjoinfilms,,,,,,,,Burbank,California,Commercial production company,media production,6,49022000,,+1 818-846-1650,121 E Linden Ave,91502,United States,1988
Dark Light Pictures,http://www.darklightpictures.com,http://www.linkedin.com/company/dark-light-pictures,,,,,,,,Los Angeles,California,Commercial production company,entertainment,6,12586000,,+1 323-460-2077,10063 Riverside Dr,91602,United States,1994
"Kavich Reynolds Productions, Inc.",http://www.kavichreynolds.com,http://www.linkedin.com/company/kavich-reynolds-productions-inc.,,,,,,,,Los Angeles,California,Commercial production company,media production,6,,,+1 323-851-2490,3151 Cahuenga Blvd W,90068,United States,
Retrofit Films,http://www.retrofitfilms.com,http://www.linkedin.com/company/retrofit-films,,,,,,,,Los Angeles,California,Commercial production company,entertainment,6,,,+1 323-931-0999,5455 Wilshire Blvd,90036,United States,2005
Chagrin Valley Little Theatre,http://www.cvlt.org,http://www.linkedin.com/company/chagrintheatre,,,,,,,,Chagrin Falls,Ohio,Commercial production company,performing arts,6,1366000,,+1 440-247-8955,40 River St,44022,United States,1930
RingLeader Inc.,http://www.ringleader.co,http://www.linkedin.com/company/betheringleader,,,,,,,,Fredericksburg,Virginia,Commercial production company,telecommunications,6,,,+1 866-384-3747,150 Riverside Pkwy,22406,United States,2016
99 Tigers,http://www.99tigers.com,http://www.linkedin.com/company/99tigers,,,,,,,,Los Angeles,California,Commercial production company,entertainment,7,,,,254 Horizon Ave,90291-3714,United States,2009
La Banda Films,http://www.labandafilms.com,http://www.linkedin.com/company/la-banda-films,,,,,,,,Los Angeles,California,Commercial production company,entertainment,7,,,,11858 La Grange Ave,90025,United States,1999
Raucous Content,http://www.raucous.tv,http://www.linkedin.com/company/raucous-content,,,,,,,,Los Angeles,California,Commercial production company,media production,7,,,+1 323-627-5000,,90028,United States,
Wild Gift Content,http://www.wildgiftcontent.com,http://www.linkedin.com/company/wild-gift,,,,,,,,Los Angeles,California,Production company,media production,7,,,+1 323-463-6303,7000 Santa Monica Blvd,90038-1012,United States,2021
Ruffian Wine Bar & Chef's Table,http://www.ruffiannyc.com,http://www.linkedin.com/company/ruffian-winebar,,,,,,,,New York,New York,Commercial production company,food & beverages,7,,,+1 212-777-0855,125 E 7th St,10009,United States,2015
"bueno, inc.",http://www.wearebueno.com,http://www.linkedin.com/company/bueno-inc-,,,,,,,,Los Angeles,California,Commercial production company,marketing & advertising,8,,,+1 310-980-4900,,,United States,2015
SLIM PICTURES INC,http://www.slimpictures.com,http://www.linkedin.com/company/slim-pictures-inc,,,,,,,,Los Angeles,California,Commercial production company,entertainment,8,,,+1 310-577-0700,514 Victoria Ave,90291,United States,
Trio Entertainment Box,http://www.trio-entertainment.com,,,,,,,,,Manhattan Beach,California,Commercial production company,,8,,,,1240 Rosecrans Avenue,90266,United States,2013
kaboom productions,http://www.kaboomproductions.com,http://www.linkedin.com/company/kaboomproductions,,,,,,,,San Francisco,California,Commercial production company,media production,8,2904000,,+1 415-434-2666,2169 Folsom St,94110,United States,1997
Custom Video Productions Inc.,http://www.cvpnj.com,http://www.linkedin.com/company/custom-video-productions-inc,,,,,,,,Red Bank,New Jersey,Commercial production company,media production,8,10000000,,+1 732-936-1001,15 Lake Shore Dr,7701,United States,1978
Kuti,http://www.felakuti.com,http://www.linkedin.com/company/kutigroup,,,,,,,,,,Production company,restaurants,8,,,,,,Nigeria,
"A Common Thread, Inc.",http://www.acommonthread.tv,http://www.linkedin.com/company/acommonthreadinc,,,,,,,,Los Angeles,California,Commercial production company,entertainment,9,4330000,,+1 310-823-7300,4081 Redwood Ave,90066-5101,United States,
Carbo Films,http://www.carbofilms.com,http://www.linkedin.com/company/carbo-films,,,,,,,,Los Angeles,California,Commercial production company,marketing & advertising,9,8533000,,+1 305-776-6295,720 Hampton Drive,90291,United States,1992
Pony Show Entertainment,http://www.ponyshowent.com,http://www.linkedin.com/company/pony-show-entertainment,,,,,,,,Los Angeles,California,Commercial production company,media production,9,6552000,,+1 323-460-2600,5450 W Washington Blvd,90016-1135,United States,2005
Sanctuary Content,http://www.sanctuarycontent.com,http://www.linkedin.com/company/sanctuary-content,,,,,,,,Los Angeles,California,Commercial production company,media production,9,,,+1 323-928-2227,2240 Ewing St,90039-3106,United States,2016
Logan Industry,http://www.loganindustry.com,http://www.linkedin.com/company/logan-industry,,,,,,,,Los Angeles,California,Production company,entertainment,9,,,,333 S Grand Ave,90071-1500,United States,
JSP Creative Media,http://www.jspcreative.com,http://www.linkedin.com/company/jsp-creative,,,,,,,,Orange,California,Commercial production company,media production,9,1621000,,+1 714-288-6005,229 North Glassell Street,92866,United States,1998
Squeeze,http://www.squeezeofficial.com,http://www.linkedin.com/company/this-is-squeeze,,,,,,,,London,England,Commercial production company,information technology & services,9,,,,,,United Kingdom,2021
AltoSur Films,http://www.alturasfilms.com,http://www.linkedin.com/company/altosur-films,,,,,,,,,,Commercial production company,media production,9,,,,,,,
Silo Films,http://www.silofilms.com,http://www.linkedin.com/company/silofilms,,,,,,,,Gardena,California,Commercial production company,entertainment,10,23258000,,+1 310-390-1687,1518 W 132nd St,90249-2108,United States,
Blueyed Pictures,http://www.blueyedpictures.com,http://www.linkedin.com/company/blueyed-pictures,,,,,,,,Los Angeles,California,Commercial production company,media production,10,2552000,,+1 818-216-1500,1806 Thayer Avenue,90025,United States,1998
Lord Danger,http://www.lorddanger.com,http://www.linkedin.com/company/lorddanger,,,,,,,,Los Angeles,California,Commercial production company,marketing & advertising,10,4078000,,+1 424-999-5013,1642 N Cahuenga Blvd,90028,United States,2011
Nonfiction Unlimited,http://www.nonfictionunlimited.com,http://www.linkedin.com/company/nonfictionunlimited,,,,,,,,Santa Monica,California,Commercial production company,media production,10,4265000,,+1 310-399-9600,2665 Main St,90405-4001,United States,1995
Love Boat Ice Cream,http://www.loveboaticecream.com,http://www.linkedin.com/company/love-boat-ice-cream,,,,,,,,Fort Myers,Florida,Commercial production company,food production,10,,,+1 239-466-7707,16229 San Carlos Blvd,33908,United States,
34° North Restaurant,http://www.34degreesnorthrestaurant.com,http://www.linkedin.com/company/34%c2%b0-north-restaurant,,,,,,,,Beaufort,North Carolina,Commercial media production company,restaurants,10,,,+1 252-838-7250,2440 Lennoxville Rd,28516-7898,United States,
Resident Films,http://www.residentfilms.com.mx,http://www.linkedin.com/company/resident-films,,,,,,,,Bow,Washington,Commercial production company,entertainment,10,,,,,98232,United States,
WyoMovies,http://www.wyomovies.com,http://www.linkedin.com/company/wyomovies,,,,,,,,Casper,Wyoming,Commercial production company,media production,10,8565000,,+1 307-266-3647,3150 Talon Dr,82604-3396,United States,
Eyestorm Creative,http://www.eyestormcreative.com,http://www.linkedin.com/company/eyestormcreative,,,,,,,,Los Angeles,California,Commercial production company,marketing & advertising,11,,,+1 310-582-3937,1300 Factory Place,90013,United States,2005
INVISIBLE COLLECTIVE,http://www.invisiblecollective.co,http://www.linkedin.com/company/invisiblecollective,,,,,,,,Los Angeles,California,Production company,entertainment,11,,,+1 310-592-3343,,,United States,2018
"Palmer Productions,Inc.",http://www.palmer-inc.com,http://www.linkedin.com/company/palmer-productions-inc.,,,,,,,,Los Angeles,California,Production company,media production,11,,,+1 323-697-4809,2023 South Westgate Avenue,90025,United States,2001
SLASH,http://www.slashdynamic.com,http://www.linkedin.com/company/slash-dynamic,,,,,,,,Los Angeles,California,Production company,media production,11,,,+1 310-614-9278,,90001,United States,2018
CoMPANY Films,http://www.companyfilms.net,http://www.linkedin.com/company/company-films,,,,,,,,West Hollywood,California,Commercial production company,media production,11,,,+1 310-277-7001,8500 W Sunset Blvd,90069,United States,2006
Gravy Films,http://www.gravy-films.com,http://www.linkedin.com/company/gravy-films,,,,,,,,West Hollywood,California,Production company,media production,11,,,+1 323-450-4968,7111 Santa Monica Blvd,90046-3445,United States,2015
SKUNK Partners,http://www.skunkus.com,http://www.linkedin.com/company/skunk-partners,,,,,,,,Los Angeles,California,Producti,entertainment,12,,,+1 323-463-2040,2143 Bay St,90021-1757,United States,
JOJX,http://www.jojx.co,http://www.linkedin.com/company/jojx,,,,,,,,Los Angeles,California,Production company,media production,12,,,+1 310-732-0034,920 Abbot Kinney Blvd,90291,United States,2014
Little Minx,http://www.littleminx.tv,http://www.linkedin.com/company/little-minx,,,,,,,,Santa Monica,California,Commercial production company,entertainment,12,6011000,,,1758 Berkeley St,90404,United States,1998
Little Minx,http://www.littleminx.tv,http://www.linkedin.com/company/little-minx,,,,,,,,Santa Monica,California,Commercial production company,entertainment,12,6011000,,,1758 Berkeley St,90404,United States,1998
BeardBoy|Films,http://www.beardboy.com,http://www.linkedin.com/company/beardboyfilms,,,,,,,,Kolkata,West Bengal,Commercial production company,media production,12,12540000,,+1 714-734-6031,,700033,India,2013
Utopia,http://www.utopiadistribution.com,http://www.linkedin.com/company/utopiadistribution,,,,,,,,Patna,Bihar,Commercial production company,entertainment,13,,,,Nehru Path,800001,India,2018
CatchLight Studios,http://www.catchlightfilms.com,http://www.linkedin.com/company/catchlightstudios,,,,,,,,El Segundo,California,Commercial production company,media production,13,12634000,,+1 310-827-3797,635 W Sycamore Ave,90245-2013,United States,2020
VENDETTA STUDIOS®,http://www.vendettastudios.com,http://www.linkedin.com/company/vendettastudios,,,,,,,,Los Angeles,California,Commercial production company,media production,13,,,+1 424-253-5459,3810 Wilshire Blvd,90010,United States,2005
Serial Pictures,http://www.serialpictures.com,http://www.linkedin.com/company/serialpictures,,,,,,,,Culver City,California,Film production company,entertainment,14,,,+1 310-558-6090,3532 Hayden Ave,90232-2413,United States,
K Films,http://www.kfilms.us,http://www.linkedin.com/company/k-films,,,,,,,,Los Angeles,California,Commercial production company,,14,37320000,,+1 775-338-6122,,,United States,
Aéro Film,http://www.aerofilms.cz,http://www.linkedin.com/company/a-ro-film,,,,,,,,Santa Monica,California,Commercial production company,media production,15,,,+1 310-396-3636,3000 31st St,90405,United States,2002
The Garden Creative,http://www.gardencreative.co,http://www.linkedin.com/company/the-garden-creative,,,,,,,,Ellicott City,Maryland,Commercial production company,online media,15,,,+1 443-325-5309,8030 Main St,21043,United States,2012
Accomplice,http://www.accompliceedit.com,http://www.linkedin.com/company/accomplice,,,,,,,,Boston,Massachusetts,Production company,marketing & advertising,15,,,+1 617-267-5700,729 Boylston St,2116,United States,2006
CHROMISTA,http://www.chromista.tv,http://www.linkedin.com/company/chromista,,,,,,,,Los Angeles,California,Commercial production company,media production,16,,,+1 310-439-1424,2272 S Centinela Ave,90064,United States,2013
Pretzel Logic Productions,http://www.pretzellogicproductions.com,http://www.linkedin.com/company/pretzel-logic-productions,,,,,,,,San Diego,California,Commercial production company,media production,16,,,+1 619-535-2221,5961 Kearny Villa Rd,92123,United States,2015
Community Films,http://www.communityfilms.com,http://www.linkedin.com/company/community-films,,,,,,,,Culver City,California,Production company,,17,,,+1 424-543-1700,3525 Hayden Avenue,90232,United States,
"The Directors Bureau, LLC",http://www.thedirectorsbureau.com,http://www.linkedin.com/company/the-directors-bureau-llc,,,,,,,,Los Angeles,California,Commercial production company,media production,17,18987000,,+1 323-465-5299,1633 Cosmo St,90028-6306,United States,1996
Gifted Youth,http://www.giftedyouth.com,http://www.linkedin.com/company/gifted-youth,,,,,,,,Los Angeles,California,Production company,,17,426000,,+1 310-396-3400,1041 N Formosa Ave,90046-6703,United States,
Tool,http://www.toolband.com,http://www.linkedin.com/company/rota-metal-i%cc%87%c5%9fleme-a%c5%9f,,,,,,,,Daytona Beach,Florida,Commercial production company,machinery,17,,,,1801 West International Speedway Boulevard,32114,United States,
Spears & Arrows,http://www.spearsandarrows.tv,http://www.linkedin.com/company/spears-and-arrows,,,,,,,,Santa Monica,California,Commercial production company,entertainment,18,,,+1 323-694-7000,1657 Euclid St,90404,United States,2014
IMPERIAL WOODPECKER,http://www.imperial.tv,http://www.linkedin.com/company/imperial-woodpecker-llc,,,,,,,,New York,New York,Commercial production company,media production,18,19118000,,+1 212-226-1001,435 Hudson St,10014,United States,2009
Native Content,http://www.nativecontent.com,http://www.linkedin.com/company/native-content-la,,,,,,,,Los Angeles,California,Production company,media production,19,,,+1 323-464-6300,1050 N Orange Dr,90038-2318,United States,
The Farm League Park,http://www.thefarmleaguepark.com,http://www.linkedin.com/company/the-farm-league-park,,,,,,,,Spring,Texas,Production company,,19,3623000,,+1 713-501-9995,5201 Spring Cypress Road,77379,United States,
Durable Goods,http://www.durablegoods.tv,http://www.linkedin.com/company/durable-goods,,,,,,,,Los Angeles,California,Commercial production company,media production,20,,,+1 310-452-9644,1301 Main St,90291-3715,United States,2011
Genpop Interactive,http://www.genpopinteractive.com,http://www.linkedin.com/company/genpop-interactive,,,,,,,,Los Angeles,California,Production company,computer games,21,450000,16420000,,15821 Ventura Boulevard,91436,United States,2020
Encore,http://www.encoremediagroup.com,http://www.linkedin.com/company/encore-media-group,,,,,,,,Seattle,Washington,Commercial production company,publishing,21,12212000,,+1 206-443-0445,1631 15th Ave W,98119-2716,United States,1969
Golden LA,http://www.golden.la,http://www.linkedin.com/company/goldenla,,,,,,,,Los Angeles,California,Commercial production company,media production,22,,,+1 310-399-0607,1275 Electric Ave,90291-3399,United States,2014
MRB Productions,http://www.mrbproductions.com,http://www.linkedin.com/company/mrb-productions,,,,,,,,West Hollywood,California,Commercial production company,media production,22,15499000,,+1 323-965-8881,,,United States,2001
Original Film,http://www.originalfilm.com,http://www.linkedin.com/company/original-film-neal-moritz,,,,,,,,Los Angeles,California,Commercial production company,entertainment,23,,,+1 310-445-9000,6363 Wilshire Blvd,90048,United States,1990
Make It Happen Productions,http://www.mihp.tv,http://www.linkedin.com/company/make-it-happen-productions,,,,,,,,Los Angeles,California,,entertainment,24,18253000,,+1 818-981-2327,16060 Ventura Blvd,91436,United States,2000
Moo Studios,http://www.moostudios.com,http://www.linkedin.com/company/moo-studios,,,,,,,,West Hollywood,California,Commercial production company,media production,27,6716000,,+1 323-464-3080,,,United States,1999
Furlined,http://www.furlined.com,http://www.linkedin.com/company/furlined-llc,,,,,,,,Santa Monica,California,Commercial production company,marketing & advertising,31,,,+1 310-496-5060,2920 Nebraska Ave,90404-4109,United States,2005
Hello Products LLC,http://www.hello-products.com,http://www.linkedin.com/company/hello-products-llc,,,,,,,,Montclair,New Jersey,Commercial production company,mechanical or industrial engineering,31,20000000,,+1 855-444-3556,363 Bloomfield Ave,07003-4832,United States,2012
"Fancy, LLC",http://www.fancynyc.com,http://www.linkedin.com/company/fancy,,,,,,,,New York,New York,Commercial production company,marketing & advertising,31,,,+1 212-343-2629,116 Sullivan St,10012-3604,United States,2011
Object & Animal,http://www.objectanimal.com,http://www.linkedin.com/company/object-animal,,,,,,,,London,England,Production company,media production,32,,,+44 779 669 2300,1 Helmsley Place,E8 3SB,United Kingdom,2018
Superprime Films,http://www.superprimefilms.com,http://www.linkedin.com/company/superprime-films,,,,,,,,Culver City,California,Production company,media production,34,,,+1 310-558-7500,9950 Jefferson Blvd,90232,United States,
Station Film,http://www.stationfilm.com,http://www.linkedin.com/company/station-film,,,,,,,,New York,New York,Commercial production company,entertainment,34,2390000,,+1 310-895-7950,251 W 30th St,10001-0083,United States,2008
GreaterGood.com,http://www.greatergood.com,http://www.linkedin.com/company/greatergood-com,,,,,,,,Seattle,Washington,Production company,fund-raising,34,19000000,2500000,+1 206-268-5400,600 University Street,98101,United States,1999
Moxie Pictures,http://www.moxiepictures.com,http://www.linkedin.com/company/moxie-pictures,,,,,,,,Beverly Hills,California,Commercial production company,entertainment,35,2147000,,+1 212-807-6901,147 N San Vicente Blvd,90211,United States,1992
Epoch Films,http://www.epochfilms.com,http://www.linkedin.com/company/epoch-films,,,,,,,,New York,New York,,media production,35,,,+1 212-226-0661,180 Varick St,10014-4606,United States,1989
